playerID,awardID,yearID,teamID
aaronha01,as,1955,MLN
aaronha01,as,1956,MLN
aaronha01,as,1957,MLN
aaronha01,as,1958,MLN
aaronha01,as,1959,MLN
aaronha01,as,1960,MLN
aaronha01,as,1961,MLN
aaronha01,as,1962,MLN
aaronha01,as,1963,MLN
aaronha01,as,1964,MLN
aaronha01,as,1965,MLN
aaronha01,as,1966,ATL
aaronha01,as,1967,ATL
aaronha01,as,1968,ATL
aaronha01,as,1969,ATL
aaronha01,as,1970,ATL
aaronha01,as,1971,ATL
aaronha01,as,1972,ATL
aaronha01,as,1973,ATL
aaronha01,as,1974,ATL
aaronha01,as,1975,MIL
aaronha01,gg,1958,ML1
aaronha01,gg,1959,ML1
aaronha01,gg,1960,ML1
aaronha01,hof,1982,Y
aaronha01,mvp,1957,ML1
aasedo01,as,1986,BAL
abreubo01,as,2004,PHI
abreubo01,as,2005,PHI
abreubo01,gg,2005,PHI
abreubo01,ss,2004,PHI
abreujo02,as,2014,CHA
abreujo02,as,2018,CHA
abreujo02,as,2019,CHA
abreujo02,mvp,2020,CHA
abreujo02,roty,2014,CHA
abreujo02,ss,2014,CHA
abreujo02,ss,2018,CHA
abreujo02,ss,2020,CHA
acunaro01,as,2019,ATL
acunaro01,as,2021,ATL
acunaro01,as,2022,ATL
acunaro01,roty,2018,ATL
acunaro01,ss,2019,ATL
acunaro01,ss,2020,ATL
adamsac01,as,1943,NY1
adcocjo01,as,1960,MLN
ageeto01,as,1966,CHA
ageeto01,as,1967,CHA
ageeto01,gg,1966,CHA
ageeto01,gg,1970,NYN
ageeto01,roty,1966,CHA
aguilje01,as,2018,MIL
aguilri01,as,1991,MIN
aguilri01,as,1992,MIN
aguilri01,as,1993,MIN
aguirha01,as,1962,DET
ahmedni01,gg,2018,ARI
ahmedni01,gg,2019,ARI
albieoz01,as,2018,ATL
albieoz01,as,2021,ATL
albieoz01,ss,2019,ATL
albieoz01,ss,2021,ATL
alcansa01,as,2019,MIA
alcansa01,as,2022,MIA
alexado01,as,1988,DET
alexape01,hof,1938,Y
alfoned01,as,2000,NYN
alfoned01,ss,1999,NYN
allendi01,as,1965,PHI
allendi01,as,1966,PHI
allendi01,as,1967,PHI
allendi01,as,1970,SLN
allendi01,as,1972,CHA
allendi01,as,1973,CHA
allendi01,as,1974,CHA
allendi01,mvp,1972,CHA
allendi01,roty,1964,PHI
allenjo02,as,1938,CLE
alleyge01,as,1967,PIT
alleyge01,as,1968,PIT
alleyge01,gg,1966,PIT
alleyge01,gg,1967,PIT
allisbo01,as,1959,WS1
allisbo01,as,1963,MIN
allisbo01,as,1964,MIN
allisbo01,roty,1959,WS1
alomaro01,as,1990,SDN
alomaro01,as,1991,TOR
alomaro01,as,1992,TOR
alomaro01,as,1993,TOR
alomaro01,as,1994,TOR
alomaro01,as,1995,TOR
alomaro01,as,1996,BAL
alomaro01,as,1997,BAL
alomaro01,as,1998,BAL
alomaro01,as,1999,CLE
alomaro01,as,2000,CLE
alomaro01,as,2001,CLE
alomaro01,gg,1991,TOR
alomaro01,gg,1992,TOR
alomaro01,gg,1993,TOR
alomaro01,gg,1994,TOR
alomaro01,gg,1995,TOR
alomaro01,gg,1996,BAL
alomaro01,gg,1998,BAL
alomaro01,gg,1999,CLE
alomaro01,gg,2000,CLE
alomaro01,gg,2001,CLE
alomaro01,hof,2011,Y
alomaro01,ss,1992,TOR
alomaro01,ss,1996,BAL
alomaro01,ss,1999,CLE
alomaro01,ss,2000,CLE
alomasa01,as,1970,CAL
alomasa02,as,1990,CLE
alomasa02,as,1991,CLE
alomasa02,as,1992,CLE
alomasa02,as,1996,CLE
alomasa02,as,1997,CLE
alomasa02,as,1998,CLE
alomasa02,gg,1990,CLE
alomasa02,roty,1990,CLE
alonspe01,as,2019,NYN
alonspe01,as,2022,NYN
alonspe01,roty,2019,NYN
alonsyo01,as,2017,OAK
aloufe01,as,1962,SFN
aloufe01,as,1966,ATL
aloufe01,as,1968,ATL
alouma01,as,1968,PIT
alouma01,as,1969,PIT
aloumo01,as,1994,MON
aloumo01,as,1997,FLO
aloumo01,as,1998,HOU
aloumo01,as,2001,HOU
aloumo01,as,2004,CHN
aloumo01,as,2005,SFN
aloumo01,ss,1994,MON
aloumo01,ss,1998,HOU
alstowa01,hof,1983,Y
altmage01,as,1961,CHN
altmage01,as,1962,CHN
altuvjo01,as,2012,HOU
altuvjo01,as,2014,HOU
altuvjo01,as,2015,HOU
altuvjo01,as,2016,HOU
altuvjo01,as,2017,HOU
altuvjo01,as,2018,HOU
altuvjo01,as,2021,HOU
altuvjo01,gg,2015,HOU
altuvjo01,mvp,2017,HOU
altuvjo01,ss,2014,HOU
altuvjo01,ss,2015,HOU
altuvjo01,ss,2016,HOU
altuvjo01,ss,2017,HOU
altuvjo01,ss,2018,HOU
alvarhe01,as,2014,MIA
alvarpe01,as,2013,PIT
alvarpe01,ss,2013,PIT
alvarwi01,as,1994,CHA
alvaryo01,roty,2019,HOU
alvisma01,as,1965,CLE
alvisma01,as,1967,CLE
amaroru01,gg,1964,PHI
anderbr01,as,1992,BAL
anderbr01,as,1996,BAL
anderbr01,as,1997,BAL
anderga01,as,2002,LAA
anderga01,as,2003,LAA
anderga01,as,2005,LAA
anderga01,ss,2002,ANA
anderga01,ss,2003,ANA
andersp01,hof,2000,Y
anderti01,as,2021,CHA
anderti01,as,2022,CHA
andremi01,as,1969,BOS
andrena01,as,1944,BSN
andruel01,as,2010,TEX
andruel01,as,2012,TEX
andujjo01,as,1977,HOU
andujjo01,as,1979,HOU
andujjo01,as,1984,SLN
andujjo01,as,1985,SLN
andujjo01,gg,1984,SLN
ansonca01,hof,1939,Y
antonjo02,as,1954,NY1
antonjo02,as,1956,NY1
antonjo02,as,1957,NY1
antonjo02,as,1958,SFN
antonjo02,as,1959,SFN
aparilu01,as,1958,CHA
aparilu01,as,1959,CHA
aparilu01,as,1960,CHA
aparilu01,as,1961,CHA
aparilu01,as,1962,CHA
aparilu01,as,1963,BAL
aparilu01,as,1964,BAL
aparilu01,as,1970,CHA
aparilu01,as,1971,BOS
aparilu01,as,1972,BOS
aparilu01,gg,1958,CHA
aparilu01,gg,1959,CHA
aparilu01,gg,1960,CHA
aparilu01,gg,1961,CHA
aparilu01,gg,1962,CHA
aparilu01,gg,1964,BAL
aparilu01,gg,1966,BAL
aparilu01,gg,1968,CHA
aparilu01,gg,1970,CHA
aparilu01,hof,1984,Y
aparilu01,roty,1956,CHA
appieke01,as,1995,KCA
applilu01,as,1936,CHA
applilu01,as,1939,CHA
applilu01,as,1940,CHA
applilu01,as,1941,CHA
applilu01,as,1943,CHA
applilu01,as,1946,CHA
applilu01,as,1947,CHA
applilu01,hof,1964,Y
archech01,as,2015,TBA
archech01,as,2017,TBA
arenano01,as,2015,COL
arenano01,as,2016,COL
arenano01,as,2017,COL
arenano01,as,2018,COL
arenano01,as,2019,COL
arenano01,as,2021,SLN
arenano01,gg,2013,COL
arenano01,gg,2014,COL
arenano01,gg,2015,COL
arenano01,gg,2016,COL
arenano01,gg,2017,COL
arenano01,gg,2018,COL
arenano01,gg,2019,COL
arenano01,gg,2020,COL
arenano01,gg,2021,SLN
arenano01,ss,2015,COL
arenano01,ss,2016,COL
arenano01,ss,2017,COL
arenano01,ss,2018,COL
armasto01,as,1981,OAK
armasto01,as,1984,BOS
armasto01,ss,1984,BOS
armstja01,as,1990,CIN
arnovmo01,as,1939,PHI
arozara01,roty,2021,TBA
arraelu01,as,2022,MIN
arrieja01,as,2016,CHN
arrieja01,ss,2016,CHN
arrojro01,as,1998,TBA
arroybr01,as,2006,CIN
arroybr01,gg,2010,CIN
arroylu01,as,1955,SLN
arroylu01,as,1961,NYA
ashburi01,as,1948,PHI
ashburi01,as,1951,PHI
ashburi01,as,1953,PHI
ashburi01,as,1958,PHI
ashburi01,as,1962,NYN
ashburi01,hof,1995,Y
ashbyan01,as,1998,SDN
ashbyan01,as,1999,SDN
atwelto01,as,1952,CHN
aurilri01,as,2001,SFN
aurilri01,ss,2001,SFN
ausmubr01,as,1999,DET
ausmubr01,gg,2001,HOU
ausmubr01,gg,2002,HOU
ausmubr01,gg,2006,HOU
averiea01,as,1933,CLE
averiea01,as,1934,CLE
averiea01,as,1935,CLE
averiea01,as,1936,CLE
averiea01,as,1937,CLE
averiea01,as,1938,CLE
averiea01,hof,1975,Y
averyst01,as,1993,ATL
avilaal01,as,2011,DET
avilaal01,ss,2011,DET
avilabo01,as,1952,CLE
avilabo01,as,1954,CLE
avilabo01,as,1955,CLE
aybarer01,as,2014,LAA
aybarer01,gg,2011,LAA
azcuejo01,as,1968,CLE
baderha01,gg,2021,SLN
baergca01,as,1992,CLE
baergca01,as,1993,CLE
baergca01,as,1995,CLE
baergca01,ss,1993,CLE
baergca01,ss,1994,CLE
baezda01,as,2005,TBA
baezja01,as,2018,CHN
baezja01,as,2019,CHN
baezja01,gg,2020,CHN
baezja01,ss,2018,CHN
bagbyji02,as,1942,CLE
bagbyji02,as,1943,CLE
bagweje01,as,1994,HOU
bagweje01,as,1996,HOU
bagweje01,as,1997,HOU
bagweje01,as,1999,HOU
bagweje01,gg,1994,HOU
bagweje01,hof,2017,Y
bagweje01,mvp,1994,HOU
bagweje01,roty,1991,HOU
bagweje01,ss,1994,HOU
bagweje01,ss,1997,HOU
bagweje01,ss,1999,HOU
bahnsst01,roty,1968,NYA
bailean01,as,2009,OAK
bailean01,as,2010,OAK
bailean01,roty,2009,OAK
baileed01,as,1956,CIN
baileed01,as,1957,CIN
baileed01,as,1960,CIN
baileed01,as,1961,SFN
baileed01,as,1963,SFN
baineha01,as,1985,CHA
baineha01,as,1986,CHA
baineha01,as,1987,CHA
baineha01,as,1989,CHA
baineha01,as,1991,OAK
baineha01,as,1999,BAL
baineha01,hof,2019,Y
baineha01,ss,1989,CHA
baineha01,ss,1989,TEX
bakerdu01,as,1981,LAN
bakerdu01,as,1982,LAN
bakerdu01,gg,1981,LAN
bakerdu01,ss,1980,LAN
bakerdu01,ss,1981,LAN
bakerfr01,hof,1955,Y
bakerge02,as,1955,CHN
baldwja01,as,2000,CHA
balfogr01,as,2013,OAK
bancrda01,hof,1971,Y
bandosa01,as,1969,OAK
bandosa01,as,1972,OAK
bandosa01,as,1973,OAK
bandosa01,as,1974,OAK
bankser01,as,1955,CHN
bankser01,as,1956,CHN
bankser01,as,1957,CHN
bankser01,as,1958,CHN
bankser01,as,1959,CHN
bankser01,as,1960,CHN
bankser01,as,1961,CHN
bankser01,as,1962,CHN
bankser01,as,1965,CHN
bankser01,as,1967,CHN
bankser01,as,1969,CHN
bankser01,gg,1960,CHN
bankser01,hof,1977,Y
bankser01,mvp,1958,CHN
bankser01,mvp,1959,CHN
bannifl01,as,1982,SEA
barbest01,as,1963,BAL
barbest01,as,1966,BAL
barfije01,as,1986,TOR
barfije01,gg,1986,TOR
barfije01,gg,1987,TOR
barfije01,ss,1986,TOR
barkele01,as,1981,CLE
barlial99,hof,1989,Y
barneda01,gg,2012,CHN
barnema01,as,2021,BOS
barnhtu01,gg,2017,CIN
barnhtu01,gg,2020,CIN
barremi01,ss,2005,CHN
barrere01,as,1945,SLN
barroed99,hof,1953,Y
bartedi01,as,1933,PHI
bartedi01,as,1937,NY1
bartlja01,as,2009,TBA
bassich01,as,2021,OAK
basske01,as,1986,HOU
batisto01,as,2000,TOR
batisto01,as,2002,BAL
batteea01,as,1962,MIN
batteea01,as,1963,MIN
batteea01,as,1965,MIN
batteea01,as,1966,MIN
batteea01,gg,1960,WS1
batteea01,gg,1961,MIN
batteea01,gg,1962,MIN
bauerha01,as,1952,NYA
bauerha01,as,1953,NYA
bauerha01,as,1954,NYA
bauertr01,as,2018,CLE
bautijo02,as,2010,TOR
bautijo02,as,2011,TOR
bautijo02,as,2012,TOR
bautijo02,as,2013,TOR
bautijo02,as,2014,TOR
bautijo02,as,2015,TOR
bautijo02,ss,2010,TOR
bautijo02,ss,2011,TOR
bautijo02,ss,2014,TOR
bayja01,as,2005,PIT
bayja01,as,2006,PIT
bayja01,as,2009,BOS
bayja01,roty,2004,PIT
bayja01,ss,2009,BOS
baylodo01,as,1979,CAL
baylodo01,mvp,1979,CAL
baylodo01,ss,1983,NYA
baylodo01,ss,1985,NYA
baylodo01,ss,1986,BOS
beckegl01,as,1969,CHN
beckegl01,as,1970,CHN
beckegl01,as,1971,CHN
beckegl01,as,1972,CHN
beckegl01,gg,1968,CHN
beckejo02,as,2007,BOS
beckejo02,as,2009,BOS
beckejo02,as,2011,BOS
beckejo02,wsmvp,2003,FLO
becklja01,hof,1971,Y
beckro01,as,1993,SFN
beckro01,as,1994,SFN
